herb_name,city,town,collection_date,longitude,latitude,soil_pH,soil_Cr,soil_Ni,soil_Cu,soil_Zn,soil_As,soil_Cd,soil_Hg,soil_Pb,herb_Cr,herb_Ni,herb_Cu,herb_Zn,herb_As,herb_Cd,herb_Hg,herb_Pb
金银花,宿迁市,曹集乡,2024-5-23,118.39324,34.009724,4.8,65,25,21,43,9,0.12,0.04,29,0.7,4.7,8.3,21.6,0.14,0.22,0.02,0.6
金银花,宿迁市,曹集乡,2024-5-23,118.394783,34.01004,5.2,68,28,22,49,8,0.12,0.05,30,0.3,3.6,8.1,19.5,0.06,0.41,0.02,0.4
金银花,宿迁市,曹集乡,2024-5-23,118.394018,34.007894,5.2,63,25,21,41,9,0.11,0.04,28,0.4,3.5,8.2,16.9,0.07,0.32,0.00,0.4
金银花,盐城市,盐都区,2024-5-24,120.164622,33.326286,7.3,71,28,19,69,7,0.09,0.03,21,0.3,1.2,8.9,21.3,0.03,0.01,0.01,0.2
金银花,盐城市,盐都区,2024-5-28,120.177063,33.334709,6.7,69,25,18,62,7,0.08,0.04,21,0.3,0.5,7.0,12.1,0.05,0.01,0.01,0.2
金银花,徐州市,沛县,2024-6-3,116.869378,34.837976,7.2,60,22,17,60,10,0.12,0.02,16,1.0,1.3,8.9,47.2,0.13,0.06,0.01,0.4
金银花,连云港,东海县,2024-6-4,118.536796,34.659679,7.1,78,30,23,106,5,0.21,0.04,20,0.4,7.9,11.4,19.8,0.05,0.66,0.01,0.3
金银花,连云港,东海县,2024-6-8,118.557783,34.645875,6.6,81,32,24,114,6,0.23,0.04,20,0.5,10.4,12.6,33.0,0.05,0.49,0.01,0.4
金银花,泰州市,海陵区,2025-10-21,119.839534,32.572335,5.7,89,33,32,88,11,0.15,0.03,47,1.3,3.7,8.4,24.5,0.15,0.14,0.01,0.6
浙贝母,南通市,海门区,2024-5-20,121.303833,32.009448,7.3,72,32,33,125,9,0.27,0.07,26,0.7,0.2,1.5,12.3,0.04,0.03,0.01,0.1
浙贝母,南通市,海门区,2024-5-20,121.304458,32.0091,7.0,74,32,32,147,8,0.28,0.06,24,0.5,0.0,1.0,9.5,0.04,0.00,0.01,0.0
浙贝母,南通市,海门区,2024-5-20,121.304451,32.009844,7.4,74,33,24,87,9,0.19,0.07,24,0.2,0.2,1.7,8.9,0.05,0.03,0.01,0.1
浙贝母,盐城市,东台市,2024-5-24,120.767227,32.877846,8.3,56,23,12,55,8,0.10,0.01,16,0.2,0.3,3.1,20.7,0.04,0.04,0.00,0.1
浙贝母,盐城市,东台市,2024-5-24,120.771587,32.874884,8.2,55,24,12,56,7,0.11,0.01,15,0.3,0.4,3.5,22.6,0.03,0.04,0.01,0.1
浙贝母,盐城市,东台市,2024-5-24,120.765094,32.874013,8.4,59,23,11,53,7,0.07,0.01,15,0.2,0.3,2.8,21.0,0.03,0.04,0.01,0.1
浙贝母,南通市,如东县,2024-6-6,120.910089,32.399764,5.7,69,28,25,94,7,0.13,0.01,22,0.2,0.2,0.9,16.1,0.07,0.05,0.01,0.1
延胡索,南通市,如东县,2024-6-6,120.909977,32.400129,5.5,68,26,25,98,6,0.13,0.07,22,2.7,2.4,9.1,75.3,1.94,0.09,0.01,0.3
延胡索,南通市,如东县,2024-6-6,120.910504,32.400188,5.6,66,27,27,100,6,0.14,0.07,22,0.8,0.7,5.0,15.1,0.17,0.09,0.01,0.2
延胡索,南通市,如东县,2024-6-6,120.910567,32.399953,5.6,71,27,28,103,5,0.12,0.06,23,0.5,0.5,4.8,15.6,0.07,0.08,0.02,0.1
蟾酥,淮安市,盱眙县,2024-9-6,118.557535,32.808382,6.3,59,23,19,46,7,0.10,0.02,22,1.9,1.3,8.5,108.8,0.26,0.01,0.06,0.9
蟾酥,盐城市,射阳县,2024-7-12,120.2668,33.749944,7.9,60,26,20,77,9,0.18,0.03,22,8.4,2.6,10.6,119.9,0.31,0.15,0.04,0.8
蟾酥,淮安市,淮安区,2024-7-12,119.447672,33.462203,7.6,95,44,27,92,10,0.17,0.03,29,5.3,2.4,13.4,124.6,0.26,0.23,0.03,0.7
蟾酥,南通市,启东市,2024-7-12,121.562979,32.074192,7.7,58,26,15,63,6,0.15,0.08,18,1.1,0.7,7.9,117.1,0.29,0.02,0.02,0.3
